PID: 0 | TP: 3391 | CP: 3392 | EP: BLOQUEADO | NES: 43 | N_CPU: 43 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 3391 | CP: 3392 | EP: EXECUTANDO | NES: 43 | N_CPU: 44 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 3394 | CP: 3395 | EP: BLOQUEADO | NES: 44 | N_CPU: 44 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 3394 | CP: 3395 | EP: EXECUTANDO | NES: 44 | N_CPU: 45 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 3633 | CP: 3634 | EP: BLOQUEADO | NES: 45 | N_CPU: 45 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 3633 | CP: 3634 | EP: EXECUTANDO | NES: 45 | N_CPU: 46 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 3748 | CP: 3749 | EP: BLOQUEADO | NES: 46 | N_CPU: 46 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 3748 | CP: 3749 | EP: EXECUTANDO | NES: 46 | N_CPU: 47 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 3788 | CP: 3789 | EP: BLOQUEADO | NES: 47 | N_CPU: 47 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 3788 | CP: 3789 | EP: EXECUTANDO | NES: 47 | N_CPU: 48 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 3889 | CP: 3890 | EP: BLOQUEADO | NES: 48 | N_CPU: 48 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 3889 | CP: 3890 | EP: EXECUTANDO | NES: 48 | N_CPU: 49 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 3938 | CP: 3939 | EP: BLOQUEADO | NES: 49 | N_CPU: 49 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 3938 | CP: 3939 | EP: EXECUTANDO | NES: 49 | N_CPU: 50 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 3940 | CP: 3941 | EP: BLOQUEADO | NES: 50 | N_CPU: 50 | Ação: EXECUTANDO >>> BLOQUEADO
